REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
230156,2018-03-16T11:56:00,Sign,Control Panel,1,"Permits, Licenses and Inspections",Overbrook,4,32,42003320400,5,32,3,4-23,-79.9961543,40.3903983,EXACT
217170,2018-02-09T00:11:00,Replace/Repair a Sign,Website,1,DOMI - TrafficShop,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,-79.9276963,40.4367864,EXACT
295135,2018-10-11T17:59:00,Abandoned Vehicle (parked on street),Website,0,Police - AVU,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,-79.9858156113353,40.4443064243789,APPROXIMATE
371630,2019-08-08T14:34:00,Abandoned Vehicle (parked on street),Control Panel,0,Police - AVU,Garfield,9,11,42003111400,2,11,5,3-4,-79.9334556684156,40.4667912416016,APPROXIMATE
332272,2019-04-12T13:51:00,Maintenance Issue,Call Center,3,DOMI - TrafficShop,Mount Washington,2,19,42003191500,5,19,3,4-27,-80.0087107095377,40.4229090472599,APPROXIMATE
80179,2016-06-17T13:22:00,Building Without a Permit,Control Panel,1,"Permits, Licenses and Inspections",,,,,,,,,,,OUT_OF_BOUNDS
47439,2016-02-16T11:58:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Carrick,4,29,42003290200,3,29,3,4-12,-79.9824107201882,40.3915124174937,APPROXIMATE
216817,2018-02-08T11:59:00,Building Maintenance,Call Center,1,"Permits, Licenses and Inspections",Shadyside,8,7,42003070900,2,7,4,3-22,-79.9380791389738,40.4543913628867,APPROXIMATE
302957,2018-11-28T14:40:00,Building Maintenance,Call Center,1,"Permits, Licenses and Inspections",Brighton Heights,1,27,42003270300,1,27,1,1-14,-80.0351491386862,40.4781721753529,APPROXIMATE
82315,2016-06-23T14:41:00,Paving Request,Call Center,1,DOMI - Asphalt,Stanton Heights,7,10,42003101800,2,10,5,3-7,-79.929966,40.4863944,EXACT
152912,2017-05-11T15:45:00,Building Without a Permit,Control Panel,3,"Permits, Licenses and Inspections",Central Northside,6,25,42003250300,1,25,1,1-21,-80.0120547574511,40.4587157350827,APPROXIMATE
265309,2018-07-02T09:21:00,Potholes,Call Center,1,DPW - Street Maintenance,Greenfield,5,15,42003151600,3,15,4,2-12,-79.941327,40.4238849,EXACT
362112,2019-07-17T12:39:00,Potholes,Website,1,DPW - Street Maintenance,Allegheny Center,1,22,42003562700,1,22,1,1-6,-80.0046702957703,40.4531991835773,EXACT
201797,2017-12-06T07:45:00,Drainage/Leak,Call Center,0,DPW - Street Maintenance,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,-79.9975869,40.4623593,EXACT
12449,2015-07-08T15:17:00,Potholes,Call Center,1,DPW - Street Maintenance,Brookline,4,19,42003191700,5,19,6,4-26,-80.017511,40.404742,EXACT
144256,2017-04-10T11:13:00,Illegal Dumping,Call Center,1,DOMI - Permits,Garfield,9,10,42003101700,2,10,5,3-4,-79.943195216619,40.4673116529224,APPROXIMATE
220168,2018-02-15T13:42:00,Sign,Control Panel,1,"Permits, Licenses and Inspections",Central Business District,6,2,42003020100,6,2,2,1-3,-80.002267,40.442279,EXACT
193398,2017-10-13T16:06:00,Patrol,Call Center,0,Police - Zones 1-6,Brookline,4,19,42003191800,5,19,6,4-26,-80.0203942588099,40.3924425342527,APPROXIMATE
87919,2016-07-14T08:37:00,Weeds/Debris,Report2Gov Android,1,"Permits, Licenses and Inspections",Knoxville,3,30,42003300100,5,30,3,4-7,-79.9964197962952,40.4121621839154,EXACT
342775,2019-05-20T12:05:00,City Source (CDBG),Call Center,1,"City Source Associates, Inc.",Greenfield,5,15,42003151600,3,15,4,2-12,-79.945981757275,40.4266334833924,APPROXIMATE
154887,2017-05-18T18:08:00,Paving Request,Website,1,DOMI - Asphalt,North Oakland,8,4,42003982200,3,4,4,2-8,-79.9519300460815,40.4431013668,EXACT
223859,2018-02-23T08:22:00,Potholes,Website,1,DPW - Street Maintenance,Central Business District,6,1,42003020100,6,1,2,1-4,-80.0039178,40.4411485,EXACT
296003,2018-10-17T08:09:00,Potholes,Report2Gov iOS,0,DPW - Street Maintenance,Spring Hill-City View,1,24,42003262000,1,24,1,1-11,-79.988968,40.464691,EXACT
61465,2016-04-15T11:52:00,Paving Request,Website,1,DOMI - Asphalt,Lincoln Place,5,31,42003310200,3,31,4,4-20,-79.9046027,40.3650158,EXACT
12479,2015-07-08T18:04:00,Illegal Dumping,Control Panel,1,DOMI - Permits,Morningside,7,10,42003101400,2,10,5,3-7,-79.9239756027196,40.486805701823,APPROXIMATE
229166,2018-03-12T17:01:00,Illegal Parking,Call Center,0,Police - Zones 1-6,Banksville,2,20,42003202300,5,20,6,4-9,-80.0411245431985,40.4077507157859,APPROXIMATE
8347,2015-06-09T11:46:00,Potholes,Call Center,1,DPW - Street Maintenance,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,-79.9658637,40.4681281,EXACT
2736,2015-04-30T09:08:00,Traffic Signals Surtrac,Call Center,1,DOMI - Traffic,Shadyside,8,7,42003070900,2,7,4,3-22,-79.9378003565042,40.4542965299166,APPROXIMATE
144656,2017-04-11T11:26:00,Referral,Call Center,1,311,,,,,,,,,,,OUT_OF_BOUNDS
320675,2019-02-22T10:04:00,Refuse Violations,Call Center,1,DPW - Refuse,Brighton Heights,1,27,42003270800,1,27,1,1-14,-80.0376049010018,40.4885396350012,APPROXIMATE
343003,2019-05-20T16:59:00,Weeds/Debris,Call Center,1,"Permits, Licenses and Inspections",Stanton Heights,9,10,42003100500,2,10,5,3-7,-79.9370836441803,40.4805166196802,EXACT
155238,2017-05-21T12:30:00,Abandoned Vehicle (parked on street),Website,1,Police - AVU,Beechview,4,19,42003192000,5,19,6,4-28,-80.0237805569881,40.4082497117501,APPROXIMATE
226760,2018-03-02T16:24:00,Refuse Violations,Call Center,1,DPW - Refuse,South Side Flats,3,17,42003170200,3,17,3,4-24,-79.9788838501424,40.4302495807503,APPROXIMATE
133804,2017-02-23T18:12:00,Potholes,Call Center,1,DPW - Street Maintenance,Crafton Heights,2,28,42003281400,5,28,6,1-17,-80.0490316,40.447039,EXACT
271882,2018-07-19T09:48:00,Potholes,Call Center,1,DPW - Street Maintenance,Perry North,1,26,42003260200,1,26,1,1-15,-80.010713,40.4890306,EXACT
172446,2017-07-23T12:21:00,Weeds/Debris,Website,3,"Permits, Licenses and Inspections",Homewood South,9,13,42003130400,2,13,5,3-17,-79.8857245202377,40.4536691819514,EXACT
88516,2016-07-15T16:55:00,Landslide,Call Center,1,DOMI - Structures,Bloomfield,7,8,42003080200,2,8,5,3-1,-79.9518086,40.4614121,EXACT
155049,2017-05-19T12:14:00,Sidewalk Obstruction,Website,1,DOMI - Permits,Squirrel Hill North,8,14,42003140100,3,14,4,2-26,-79.9341173,40.4449613,EXACT
138663,2017-03-09T18:30:00,Potholes,Call Center,1,DPW - Street Maintenance,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,-79.9254067,40.4334271,EXACT
